Post Survey Comments,Product Satisfaction,PMF Rating,Primary Replenishment Benefit,Select Top Benefit Replenishment,General Feedback,Experience Improvement,Why does Auto Deliver Hinder Experience
I was impressed with how well this worked. I already use the reorder my items feature to do my shopping and this made it even easier.,"It worked very well, and it was easy to add to or adjust anything that needed changing.",Moderately Dissapointed,having the shopping cart already set up with most of my order every week.,"The ability to easily make changes to your picks, so you're in control of what you buy.","I was very impressed with it and will continue to use replenishment if it's available to use. It might be good in the future to have an option to add to replenishment or remove from replenishment, but it worked quite well as it is.",Suggestions for new products we think your family might like,"I don't always want delivery on the same days of the week, depending on what is going on that week. And about once every 6 weeks I have to order from HEB to get things I can't get at walmart (mainly a dog food brand they sell.) I love the at home delivery service but have it left on my porch rather than brought inside so my dogs won't get out, and since I""m here anyway. (health issues, rarely able to leave the house)"
Happy to participate,"I love replenishment. It be would be nice to have replenishment time frame options: every order, every 2 weeks, 1month etc.",Very Disappointed,Definitely time and memory saver. I don’t forget items.,"The ability to have a ""second you"" that knows what you need.",I’d like to see it expanded to include more items,Other,I dont always use same amount. Depends on company
I enjoyed being involved with a good test run!,It’s nice already having my go to items in my cart - and it’s also easy to remove them if I don’t need them that specific week,Slightly Disappointed,Saves time not having to add the items I know I’m going to purchase,"The ability to easily make changes to your picks, so you're in control of what you buy.",Sometimes the quantities were off but still very close,Suggestions for new products we think your family might like,I am not home during the same times every week
"No, thank you, I've shared everything",My replenishment picks were spot on.  It was really easy to use this service.,Moderately Dissapointed,"Well, the brainwork on our, (the customer), part is taken care of by Walmart.","The ability to easily make changes to your picks, so you're in control of what you buy.",I appreciate that the Replenishment program always has my correct needs in my cart.  Thank you!,Suggestions for new products we think your family might like,Because I don't always have the money in my bank to order every week.
N/A,"I'm not sure you can.  It works well and it's not a problem to remove items that for whatever reason I don't need yet. It is helpful to have my most frequently used items already in the cart so while it is not perfect, I think it's worthwhile and people who reorder the same item would find it useful.",Slightly Disappointed,saves time,"It saves you time on the mundane, so you have time for the fun stuff.","As I said, it's a good program.  Busy moms would enjoy it I think.  Those who don't order similar items frequently might not have much use for it. I wouldn't consider it worth enough if there was a significant charge associated with it as it doesn't save me THAT much time.",Creating and controlling my own Replenishment list,I just don't want 2 different delivery times each week.
No additional information,Made it so much easier and faster to make an order,Very Disappointed,It cuts down on all the searching and selecting and I am able to place an accurate order so much quicker than without it. I loved it!,"The ability to have a ""second you"" that knows what you need.",No additional feedback other than to make it easier and clearer to add items to your replenishment list from favorites items,Creating and controlling my own Replenishment list,It might improve it but sometimes I am unsure of when I need things delivered.
Nope!,Sometimes it adds items I ordered a few times but didn’t want on repeat.,No Reaction,It added items so I didn’t have to which was convenient .,"The ability to easily make changes to your picks, so you're in control of what you buy.",It made grocery shopping quick and easy. I did like how it added items for me and made it fast to order groceries. At the beginning it wasn’t great at seeing what I needed but it got better. Over all I liked it!,Suggestions for how I can save by buying in bulk or switching brands,Sometimes I don’t want what is added and would end up with a lot of stuff I don’t need.
N/A,I liked having the items automatically put in my cart,Very Disappointed,It saves time and reminds me of things I might forget,"The ability to have a ""second you"" that knows what you need.",It worked great for me,Setting my substitutions,I want to be able to make changes and add more items and choose when I want it delivered.
N/A,It’s made shopping so much easier since we order a lot of the same things each week.,Moderately Dissapointed,Time saving!,"The ability to easily make changes to your picks, so you're in control of what you buy.",I felt like it was pretty spot on. It could maybe be improved by taking stock of what was ordered within a couple days and not add that to cart for replenishment. Sometimes I would place an order over the weekend and then see those same items on Monday in Cart from Replenishment but it was too soon to need them. I did feel like that got improved over time though.,Pairing recipes with product suggestions,I absolutely do not want auto delivery. I need to control inventory of our groceries as we don’t always go through them at the same pace each week. We also shop at BJs so sometimes those items have been bought in bulk and we would not need auto delivery from Walmart.
Thank you for allowing me to participate.,"The only thing I can think of would be to somehow make it more family friendly. My husband and I both add to the shopping cart on different phones and he one time ordered all replenishment items, thinking I wanted them all and I did not have a chance to delete any of them yet. It would be great to add a way to know if your family member reviewed the replenishment items.",Slightly Disappointed,It is very efficient.,"It saves you time on the mundane, so you have time for the fun stuff.",I cannot think of anything else.,Creating and controlling my own Replenishment list,"Auto delivery is never a good option for us because we have a very busy, constantly changing schedule and only schedule deliveries on short notice when we know someone will be home."
Thanks for the program!,Convenience and Saving time each week.,Moderately Dissapointed,Saving time each week.,"It saves you time on the mundane, so you have time for the fun stuff.","Liked the program, you should continue. I think most people would use it to save time.",Setting my substitutions,Life isn't the same every week. Some times you eat more of some items and less of others. I don't always get the some items every week. I look for items with cash back with walmart and ibotta also which may change my current list.
N/A,It seemed to work very smoothly.,Slightly Disappointed,It’s a reminder of many times I typically get.,"The ability to easily make changes to your picks, so you're in control of what you buy.",I was very happy with it. I don’t think that I would pay extra to have this feature as I am perfectly able to add them myself. But it was definitely a cool feature.,Setting my substitutions,Because my schedule varies. I wouldn’t want to get items delivered if I don’t need them or if my needs for that week change.
N/A,This is a great program.  Love not having to think about my usuals,Moderately Dissapointed,It’s easy for someone who is as busy as me,"The ability to have a ""second you"" that knows what you need.",I have no complaints. The program worked well for me,Suggestions for new products we think your family might like,I’m not always home the same of the week for delivery
No,Items I am most likely to need are already on my list. It’s easy to remove the items I don’t need,Moderately Dissapointed,My list is ready to check and go!,"The ability to easily make changes to your picks, so you're in control of what you buy.",Liked it,Creating and controlling my own Replenishment list,I’m not always ready for every replenished item
Not today.,I wish I was able to modify the replenishment cart prior to using it.,Slightly Disappointed,It helps prevent me from having to search for items I use regularly and catch things I might forget.,"The ability to have a ""second you"" that knows what you need.","As stated, I just wish I had a little more control over the replenishment before implementation in my cart.",Suggestions for how I can save by buying in bulk or switching brands,I’m afraid I would forget about items for delivery; either to remove or add them.
I had a positive experience with the program and hope that it continues in some capacity in the future. Thank you!,I like that all my regular items are already in my cart as I tend to purchase them often.,Moderately Dissapointed,It’s a time saver. I don’t have to search for those items each time I’m reordering. I also can sometimes forget and item so it’s helpful that it’s already in my cart.,"It saves you time on the mundane, so you have time for the fun stuff.","I feel like there could be more items added rather than the few that were there each week. Maybe the customer can choose their own replenishment items to always have in there, with others added by Walmart if they are ordered on a semi regular basis.",Creating and controlling my own Replenishment list,"I don’t typically use the same items at the same time every week. Or if I do, they are used at different rates which would require way too many deliveries."
Was happy with the test program,My every week items already loaded saves me time,Slightly Disappointed,Saved me time,"The ability to easily make changes to your picks, so you're in control of what you buy.",Saved me time,Pre-booked delivery time,My schedule changes and  I need to change delivery times
I would like to know if there will be additional cost to replenishment. Also it’s important to let the customer know the benefits for both the consumer and the seller.,Consistently adding our weekly items.,Moderately Dissapointed,Much easier and a time saver!,"The ability to easily make changes to your picks, so you're in control of what you buy.",I cannot think of anything to add.,Creating and controlling my own Replenishment list,Needs of items can vary depending on the week.
My only real issue is that home delivery uses too many bags. I often receive one item in a plastic bag which is then put into a paper bag with other plastic bags containing one or two items. Either pack the plastic bags full or just put my items in the paper bags. I shouldn’t receive three paper bags with 15 plastic bags containing items. That’s really wasteful and not environmentally friendly.,"It needs further training to get more accurate, either that or my purchasing pattern is just too unpredictable.",No Reaction,"For me, none really. It didn’t speed up the time I spent shopping. Having to remove its selections took more time than picking the items I needed that week.",None of the above,I did not see any benefit.,Other,I don’t always need some items when your computer thinks I do and I don’t want to buy something I don’t need. I use auto delivery for only 2 items from Amazon. I would not want it for my groceries.
N/A,I love that it evaluates it each week and adjusts to my changes.,Very Disappointed,"With my everyday items I used to go through all of my favorites, since I usually don’t write them down. It took awhile and I would miss something. It’s amazing now I don’t have to.","The ability to easily make changes to your picks, so you're in control of what you buy.","I love everything about it. The only challenge was figuring out which day to put for my replenishment. I usually put my order in on Sunday and have it delivered Monday for the week. Now that I have my replenishment picks set for Saturday, it’s all set for me.",Suggestions for how I can save by buying in bulk or switching brands,"I don’t care for autoshipment because it’s not always consistent. Take our milk for example, we drink roughly a gallon and half a week. So some weeks I buy two gallons. And some weeks I buy one. If it were automatic, I would be wasting milk or not having enough."
Walmart provides excellent service and fast delivery.    Having the Walmart plus membership has allowed me to get items from Walmart even though I live 15 to 30 minutes away from the nearest store.,It seems to be working well.,Slightly Disappointed,Replenishment makes things a little bit faster.    I prefer replenishment instead of subscribing to grocery deliveries.    I don’t really like the subscriptions because they come as surprise.,"It saves you time on the mundane, so you have time for the fun stuff.",I think it is working well.    I plan to continue using replenishment.    The suggestions are correct most if not all of the time.,Pre-booked delivery time,I am leery of auto delivery.    I am  OK with having a timeslot reserved automatically for me as long as I can change it. My schedule is stable about half the time.
The replenishment program does have potential as long as there is no auto delivery attached to it.,There were a lot of problems at first with the carts actually loading the replenishments and then getting the right number of items. It would be best to make sure the bugs are better worked out before you do another trial.,Slightly Disappointed,"It’s nice that I don’t have to add everything I would buy each week into the cart. As long as you can edit the cart, the replenishment items are helpful.","The ability to easily make changes to your picks, so you're in control of what you buy.","There were a lot of problems getting the replenishment to work right, which was annoying. Next time you should do more work on ironing out bugs BEFORE you do a trial",Creating and controlling my own Replenishment list,Because I don’t buy groceries exclusively from Walmart. Some weeks other places have better deals so I may buy my weekly groceries from a different store. I do know that if auto delivery was a requirement I would not shop at Walmart.
Pretty happy!,"Makes ordering so easy, saves me tons of time.",Moderately Dissapointed,The time saving and not forgetting essential items,"The ability to have a ""second you"" that knows what you need.",Only thing was sometimes it added 2 of an item I didn't need,Creating and controlling my own Replenishment list,I do change my delivery time often
N/A,"Its very convenient to have all the usual groceries I buy automatically added, it saves a lot of time",Moderately Dissapointed,Saves time!,"It saves you time on the mundane, so you have time for the fun stuff.",If you could pick which items to add to replenishment.  Or pick which day of the week replenishment happens,Creating and controlling my own Replenishment list,"Because I have a busy schedule, so I was to make sure I'm home before I receive orders"
No thank you,Pay more attention to shopping habits,Slightly Disappointed,Just having stuff in my cart already,"The ability to have a ""second you"" that knows what you need.",N/a,Other,There may not always be funds available
I like the program hope it works well for everyone!,The program does a good job of anticipating my replenishment items. Helps me save time!,Very Disappointed,"I’m able to choose a specific day. Plus, it anticipates which items I buy regularly and need to restock","The ability to have a ""second you"" that knows what you need.",I’d like a app notification so I know when to view my cart.,Creating and controlling my own Replenishment list,I might not be home depending on any plans I may have
N/A,I think just providing detailed instructions with screen grabs on where to activate replenishment.  It was a bit clunky and hard for this trial.,Slightly Disappointed,Time saving on receiving weekly staple items,"The ability to easily make changes to your picks, so you're in control of what you buy.","See previous question, the confusion on the process.  It has to be easy and simple to choose and stop replenishment",Pre-booked delivery time,"I could only pick one, this is of course important"
No,No changes. It worked as intended. It was just not for me.,No Reaction,It added items you may of forgotten that you needed in your cart.,"It saves you time on the mundane, so you have time for the fun stuff.","My needs or wants would change weekly. Also my financial situation would vary by week. So I may not get the same items or want the same dinners from the previous week. So it would add items I really did not want for that particular week. Also I would add items to my cart throughout the week as I would think about needing them. Well the problem with replenishment would be that it would also add items and I would find myself having to delete certain things. Replenishment may work for some people, but was not really for me  it was nice having my milk or water added but just did not benefit me enough.",Suggestions for new products we think your family might like,"For me, my financial situation varies so I may only order a few things on a particular week. Other weeks I may order more."
N/A,Very convenient not having to add my commonly purchased items to the cart every week,Moderately Dissapointed,The time saver of not having to add those items to the cart,"It saves you time on the mundane, so you have time for the fun stuff.","I would like to be able to control what items i put on replenishment and add a frequency. So if I don’t purchase it weekly I could set it to add every 2 weeks, etc.",Creating and controlling my own Replenishment list,I like to control what day I get delivery
I really enjoyed the replenishment program.,Sometimes I the The quantities are a little off. It adds  more than I ever really order and I often forget to check the quantity before checking out.,Slightly Disappointed,It remains me of items I am running low on.,"The ability to have a ""second you"" that knows what you need.",A way to change what day the replenishment showed up in my cart. And maybe a reminder to check the quantities before I check out,Creating and controlling my own Replenishment list,"I like to make sure if I really need that item or not, and if it fits my budget for the week."
"no, thank you for this opportunity!","It was oddly timed - usually I'd get my replenishment notifications just after I'd already placed an order, so it wasn't super helpful.",No Reaction,not having to go through past orders to see what I might be running low on,"The ability to easily make changes to your picks, so you're in control of what you buy.",n/a,Creating and controlling my own Replenishment list,b/c many times I had already ordered groceries & then within a day or two be notified my replenishment picks were available in my cart - like it was almost always a day or two late
N/A,I think the algorithm is a little bit off. It often recommends multiple versions of the same thing (like bottled water) so I end up with double. There are also things I order frequently that don’t show up at all.,Slightly Disappointed,Saving time and you don’t forget things,"It saves you time on the mundane, so you have time for the fun stuff.",Recommendations on cost saving similar items might be good!,Suggestions for how I can save by buying in bulk or switching brands,I like control so I don’t waste money
I really liked how the research team seemed so responsive to the data and feedback they were getting. I hope this can become a feature going forward online. It was really nice not having to add my most common items each week.,"The only drawback of Replenishment was if I ordered something a few times, but didn't need it on repeat, it kept being auto added to my cart. I know you can go edit the items somewhere, but it requires another step. The algorithm wouldn't know this though.",Slightly Disappointed,It saved me time having to add all of my usual items to my cart.,"The ability to have a ""second you"" that knows what you need.",It would be neat if the auto added items had a comment about price (ie this item is cheaper than last week so be sure to buy now!).,Suggestions for how I can save by buying in bulk or switching brands,I like being in control of when the items (particularly grocery cold items) are delivered as my schedule changes week to week.
"Thanks for choosing me to be a part of this trial! Even though the service as it currently stands isn’t a good fit for me, I appreciate that you take the time to check in with your customers to try to provide something helpful!","When I first started using this, it seemed okay, maybe even a little helpful. After all, I love Walmart+, particularly the In Home delivery service.     However, after dealing with Replenishment for months now, I cannot wait for the trial to be over so I can turn it off. It’s pushy and irritating; its picks are the opposite of helpful. It wants me to order things that I purchased literally the day before and doesn’t remember things that I haven’t purchased in weeks and may actually need to restock. The whole thing is just another chore for me — to go in weekly and delete all the unnecessary items it puts in my cart.     My take on this so-called “service” is that it’s a useless AI tool that no one asked for and no one will benefit from. It adds zero value for me as a customer and I can’t imagine that I would ever want to use it again.",No Reaction,"I wanted to find one, but I just couldn’t. It didn’t actually help me at all, and was in fact a hindrance. I dreaded replenishment day because I knew I’d open the app to a cart full of things I didn’t need that week and it kind of stressed me out.","The ability to easily make changes to your picks, so you're in control of what you buy.","I think I would like this service if, instead of automatically adding things to my cart, it provided a page that listed everything I’ve bought in the last month or two. That way I would be in control of what went in the cart and what should wait until next week, and it would help me remember things that are regular purchases but not as frequent as replenishment wanted to make them.     Honestly, it’s the automatic adding-to-cart that I really didn’t like. I tend to use my cart as my weekly shopping list, adding items I’ll need as I think of them. Replenishment sort of threw off that whole routine for me and made shopping with Walmart more difficult instead of easier.",Creating and controlling my own Replenishment list,"I would ABSOLUTELY NOT want auto delivery. The selections are nowhere near accurate enough, it would greatly increase my weekly spending beyond my budget, and the amount of food waste we would have piling up would be disgusting. Auto delivery would be enough to make me withdraw from the Walmart+ program altogether, and it’s currently my favorite subscription service that we have."
No!,Let the customer pick a replenishment day. I don’t always do my shopping on Fridays.,No Reaction,Don’t need to go shopping individually for each itsm,"The ability to easily make changes to your picks, so you're in control of what you buy.",No comments,Creating and controlling my own Replenishment list,I want control over which items I need. I shop a few times a week so I don’t need every item every time. So the number of items change.
N/A,"It did what it was supposed to do. I just found for myself that what I order changes enough each week that I had to go through and make enough changes to the replenishment list that it felt like for me at least, replenishment wasn’t as helpful as I had hoped it would be.",No Reaction,I didn’t find a huge benefit to Replenishment.,None of the above,"I think it does what it is supposed to do, and people who basically buy the same staple foods each week will be helped by it.",Creating and controlling my own Replenishment list,Because then I might automatically have groceries delivered that I don’t need that week.
I like the in home delivery would be nice if replenishment is as efficient,Better recommendations,No Reaction,Easy add for items,"It saves you time on the mundane, so you have time for the fun stuff.",Maybe if it can detect how often I order things and recommend them,Creating and controlling my own Replenishment list,What if I don’t need it
N/A,It’s out of our control but making sure we get the items before they are out of stock.,No Reaction,Saves times and money! That’s a no brainer for someone as busy as I am,"It saves you time on the mundane, so you have time for the fun stuff.","It was an addition to how great Walmart is, and is continuing to make things easier for their customers",Pre-booked delivery time,"I don’t always need the same items every week,"
"All in all, I think this program has been helpful and would continue to use it, if it was still being offered.","There were several glitches at first, but the past few weeks, replenishment has worked well.",Slightly Disappointed,"It is nice/ convenient to have items added to my cart, that I might otherwise forget to add. It also saved me time by having the items in my cart already for me to check out.","The ability to have a ""second you"" that knows what you need.",I think it would be helpful to also have replenish set up to be delivered on a certain day/timeframe so you would only need to go in and add things or change things the night before it was set to be delivered.,Automatic delivery of my Replenishment items,N/A
"This was an interesting experience. I’m so thankful Walmart is taking customer’s feedback into consideration. It can be quite challenging to provide feedback after a program is implemented because no one ever seems to know how to direct you to the powers that be, so having a say beforehand makes me feel like Walmart cares about a customer’s experience.","It would be nice to have an on/off option (maybe even ‘snooze’) for replenishment items. It could just be our household, but I find the system continues to suggest replenishment for items I’ve intentionally not purchased in a while.    It would also be awesome if replenishment items were not suggested if they are out of stock. That was a bit frustrating on a few occasions.",No Reaction,"The main benefit is not having to waste time searching for, then adding items to my cart. It’s easier to remove a replenishment item than it is to search for the right item to be added.","The ability to easily make changes to your picks, so you're in control of what you buy.","1. Allow customers to set up automatic reorders for frequently purchased items on a schedule that suits their needs.    2. Provide real-time stock updates to ensure customers know what items are available before placing orders. At a minimum, don’t suggest replenishment on out of stock items.    3. Notify customers when their favorite products are back in stock, when prices drop, or when it's time to reorder specific items.    4. Offering subscription plans for regular delivery of essential items like milk, bread, or cleaning supplies would be helpful as those are the basics that we can easily & confidently predict a need for.",Creating and controlling my own Replenishment list,"Our family’s needs are ever changing, so I prefer to be more in control of when items are delivered to prevent waste. However, my exception to this would be auto delivery of home essentials like milk, bread, etc."
Please make a way to save one store as your preferred store instead of defaulting to closest store.,It works fine. Not sure what could be improved.,Moderately Dissapointed,Made checking out easier and faster.,"The ability to have a ""second you"" that knows what you need.",I liked that it saved time on ordering. It made a list of the items I used most. Not sure what could be added but it did help.,Setting my substitutions,I like to be in control of when a delivery happens. And the app doesn’t default to my favorite store I have to manually change it.
N/A,"It helps me from forgetting any item that I usually buy. If I choose not to purchase it at that time, I can delete it and know it will come back on my next order. It makes my shopping more accurate.",Moderately Dissapointed,"Mainly, it keeps you from forgetting something. AtI my age that’s important. It’s better than scrolling through the “my items “Section. When you have to limit yourself to an exact dollar number with your grocery shopping It makes it easier.","The ability to have a ""second you"" that knows what you need.","No issues, I like the program.",Creating and controlling my own Replenishment list,"I use my grocery list at Walmart as a kind of regular grocery list. If I remember something, I go ahead and put it in my basket at Walmart. I can only purchase groceries at certain times because of my Social Security and having to be very careful about the amount I spend. I usually have two set time in -home deliveries a month with maybe an extra one. One delivery date is totally dependent on my Social Security check coming in and then there’s Scheduling deliveries that  don’t conflict with my Appointments."
Thank you for allowing me the opportunity to participate in this. It was unique!,It kept me from forgetting items.,Slightly Disappointed,It’s a good reminder of items we enjoy most. It’s a win-win for both Walmart and the consumer. Walmart makes consistent sales and the consumer receives the joy of having items they obviously enjoy.,"The ability to easily make changes to your picks, so you're in control of what you buy.",Ensure there is a renewal process for replenishment items we may pass on initially.,Creating and controlling my own Replenishment list,Though good for Walmart (profits) the consumer may not need the extra items at that time.
No,Ordering groceries is so much easier and faster since the essentials have already been added to my cart.,Moderately Dissapointed,It is so much faster and easier.it keeps me from forgetting essential stuff or items that are running low.,"The ability to easily make changes to your picks, so you're in control of what you buy.",I really enjoyed that replenishment knew exactly what I needed and the amount.,Setting my substitutions,I have a constantly changing schedule and am frequently out of town. I would be worried deliveries would come when I wasn’t at home.
"No, I think the program was great! I’m glad I was able to be part of it","I liked having my usual items automatically added to the cart, and it was easy to adjust for items I didn’t need or needed more of. I would definitely like to see this program continue!",Very Disappointed,It saves time and helps me not forget our usuals,"It saves you time on the mundane, so you have time for the fun stuff.",I thought everything was great!,Creating and controlling my own Replenishment list,"I would be afraid I would forget to adjust the items on the order and would end up purchasing things I did not need. Also, in the event that we are out of town, we would be wasting money. I think being able to schedule my own deliveries is ideal."
N/A,I want to pick the day I get my replenishments.,Moderately Dissapointed,Saves time on remembering what I need each week.,"The ability to have a ""second you"" that knows what you need.","I would like to pick the day it happens. Also I would like it to pick up on on frequently I make a purchase, so if I purchase something once a month it will add it once a month to my replenishment cart.",Suggestions for how I can save by buying in bulk or switching brands,I want to be the one to control when it is delivered and paid for.
Overall I enjoyed these couple of months of not having to think about what to add to my shopping cart. Great initiative!,"Try to keep track of the quantity of each item being purchased and added as a replenishment pick. For example, the number of bananas added to my cart never matched the right number I purchased every week.",Slightly Disappointed,Time saver and it also helps to remind me of some items I would have otherwise forgotten to order,"The ability to easily make changes to your picks, so you're in control of what you buy.",It is a very good concept for busy and forgetful people. I enjoyed going to my cart every week and seeing my replenishment picks. The only improvement I can think of is finding a way to add the correct quantity to each item,Creating and controlling my own Replenishment list,"I wouldn’t say it would not improve my experience. I would like to have an option of auto delivery but only if it is customizable in a way that it  can work around my schedule.    I would do it if it includes an option to cancel any specific week’s auto delivery, for example if that week I won’t be home or didn’t get through all our food before."
Nothing,I like the fact that the items are already in my cart.  It is easier to remove items than it is to remember to add them.,Moderately Dissapointed,Time saver!!!!,"The ability to easily make changes to your picks, so you're in control of what you buy.",N/A,Suggestions for how I can save by buying in bulk or switching brands,I still want to be in control of when items are delivered and the day/time could change each week.
N/A,I think there should be an option to click when we want to replenish,Moderately Dissapointed,Saves time instead of having to scroll through all favorite items,"It saves you time on the mundane, so you have time for the fun stuff.",I liked not having to scroll and look for the things I normally buy. Saves time.,Other,"Some of the replenish items that were not needed, and I would not want to over buy anything that I don’t need"
Keep up the good work.,Better AI.,Slightly Disappointed,Convenience.,"The ability to easily make changes to your picks, so you're in control of what you buy.",No suggestions.,Suggestions for how I can save by buying in bulk or switching brands,Too much variation from order to order.
N/A,The items chosen weren’t weekly purchases. I’d like to choose the replenishment dat,No Reaction,None,None of the above,It seems to be redundant with My Items,Creating and controlling my own Replenishment list,Too many changes based on week
N/A,I would like to be able to pick my day of the week that Replenishment shows up in my cart,Moderately Dissapointed,Saves me time! I buy some things every week and I like replenishment adds them to the cart for me.,"It saves you time on the mundane, so you have time for the fun stuff.","I do think it got plenty we as time went on, at first it suggested things I sometimes buy and didn't replenish things I buy every week. But I felt like by the end it figured it out more.",Creating and controlling my own Replenishment list,"I like to control when delivery happens, so I can prepare for it or make sure I'm home. So I like to schedule my own deliveries."
N/A,"Place more items in cart. If I do not need them, I could unselect them.",Moderately Dissapointed,Saves time and serves as a reminder.,"The ability to have a ""second you"" that knows what you need.",The feature is great! I really enjoyed it.,Setting my substitutions,My personal needs change from week to week.
Keep making improvements to make life easier!,I loved opening the app and my main staple item were already in the cart. It made it easy to save for later (if i didn't need them OR order them).,Moderately Dissapointed,"It is easy that all my main items are in my cart, makes it easier for me to continue my shopping and add other items. It saves time as well.","The ability to have a ""second you"" that knows what you need.","I do not have anything that i can suggest. I thought it was perfect.  I will say, my cart will be more consistent once school starts.  This summer we had vacations, two separate families staying with us, so we were not super consistent with our replenishment.",Suggestions for how I can save by buying in bulk or switching brands,"We like to travel, so i like to ensure we are home for delivery and will eat the food purchases.  and with auto delivery i don't want to order anything extra or not be home when we are going out of town."
No,Makes it easier and saves time!,Moderately Dissapointed,Saves time,"It saves you time on the mundane, so you have time for the fun stuff.",Just needs to keep up and adjust when we stop using a product,Pairing recipes with product suggestions,I need to edit what I do & don't need that week
"No,  I have nothing more to add.  Thank you.",I think that you need to rely less on the last order and more on what the last month of orders has been.  This would make the replenishment process more effective in my opinion.,Moderately Dissapointed,My cart has most of the items that I need already in my cart and I can easily add any additional items or adjust amounts on my regularly purchased items.  I have really liked the program overall.,"The ability to have a ""second you"" that knows what you need.",I have covered the one thing that I think was an issue for me and that is relying on the most current order instead of an average of the orders over a period of time.,Suggestions for new products we think your family might like,It would improve my experience.  It would just need to be easy to change if needed.
Keep up the great work!,I love having a more limited list to initially go through while I plan out or weekly groceries.  It saves me time and I can easily remove items I don't happen to need that week while then adding any new ones.   I enjoy the process of our weekly grocery order through Walmart online and this just makes is better.,Very Disappointed,Ease of access for my most common repeat items.   I no longer have to look for them among the list of all the items I've purchased before.,"It saves you time on the mundane, so you have time for the fun stuff.","I just hope it continues, it is beneficial and I like using it!",Suggestions for how I can save by buying in bulk or switching brands,"Things sometimes change week to week, so I'm not a fan of auto-delivery."
N/A,I didn’t have to go and look for a lot of the items that I buy weekly. It made grocery shopping more efficient.,Very Disappointed,Saving time,"The ability to easily make changes to your picks, so you're in control of what you buy.",Add more items that the shopper can delete if need be,Suggestions for new products we think your family might like,I don’t want any type of delivery or purchase made without my prior approval
"I love having WM Plus, makes my life so much better. Wish this was around when my husband was deploying and I had to grocery shop on my lunch break or with small children.",I liked getting a list each week of my regular items. Kinda reminds me of my Amazon Subscribe and Save,Very Disappointed,"Reminders are so helpful, saves me from going to the grocery store or initiating another delivery","The ability to have a ""second you"" that knows what you need.",Loved the second chance to add things to my weekly order. I wish I could link my meal plan to my cart so it adds all the things I need for the week. And I wish the delivery window was smaller.,Pairing recipes with product suggestions,"Sometimes we don’t go through our regular items as quickly, ie milk, bread etc"
That is it,More frequent updates,Moderately Dissapointed,Time savings,"The ability to have a ""second you"" that knows what you need.",Ability to customize replenishments instead,Creating and controlling my own Replenishment list,Life is uncertain
No,Option to change day  and replenish early. some weeks I want to order groceries early,No Reaction,Slightly faster for shopping,"The ability to have a ""second you"" that knows what you need.",“Replenish now” button if I want to replenish early,Creating and controlling my own Replenishment list,My needs change from week to week
N/A,Better tracking of goods,Moderately Dissapointed,Adding certain things and easy removal,"The ability to easily make changes to your picks, so you're in control of what you buy.",Not much,Creating and controlling my own Replenishment list,Quantity doesn’t match
N/A,Allow me to manually replenish my cart on demand.,No Reaction,It saves time from having to manually choose all my regularly purchased products,"It saves you time on the mundane, so you have time for the fun stuff.",The only feature that I think should be added is a manual way to replenish your cart instead of waiting for the scheduled replenish days.,Creating and controlling my own Replenishment list,I dont always need the products added to my cart
N/A,Nothing really. I just didn’t find the concept super helpful.,No Reaction,It can make shopping faster and make it require less mental energy,"It saves you time on the mundane, so you have time for the fun stuff.",No comment,Creating and controlling my own Replenishment list,I wsnt control over that
I think it could be a great service for working families!,I do not believe you could do anything,No Reaction,None. I think it may be great for working families.,None of the above,I like to pick my own items. I believe this could be helpful for working families. I would have loved this 20 years ago. I am retired now.,Creating and controlling my own Replenishment list,"Yes, I am retired and like to change things up, and may not need certain items weekly."
I rarely shopped at Walmart before in home. Not it is my exclusive grocery store.,This saved me so much time when ordering my most often purchased items. I always knew it would be there on Tuesday so I waited for that before I built my order.,Very Disappointed,Time savings and a reminder about what to purchase.,"It saves you time on the mundane, so you have time for the fun stuff.",This is a wonderful service.,Pre-booked delivery time,I had to occasionally alter my list so I want time to do that and don’t feel that could be possible with auto delivery.
No,allowing us to in put when we are on vacation so that its clearer,No Reaction,I can check those items if we need to restock them,"The ability to easily make changes to your picks, so you're in control of what you buy.",Frequency.,Creating and controlling my own Replenishment list,Becuase I may be on vacation and I like control when I have items come and the environment
Good job coming up with new innovations!,I think it would be better if it put the suggested items in your cart but then there would be another step to accept them. A couple times I got stuff I just didn’t notice and really didn’t need.,No Reaction,"One less step when adding things to my cart. Easy enough to take them off, but saves time in adding them.","The ability to have a ""second you"" that knows what you need.",No other comments,Creating and controlling my own Replenishment list,I definitely wouldn’t want things to be delivered automatically in case I forgot to check it beforehand. I’m sure it would cause many unnecessary returns.
Thank you for the opportunity to try this feature trutl its great but interesting text or more alert options would connect to having auto delivery with replenishment more comfortable and with the confidence of controlling your list,"Possible access to a list to adjust the auto-replenishment items if no longer using or purchasing, this could aid in having a better auto subscription advantage",Slightly Disappointed,It already helps me get my list started and see what i truly need or not and plan for weekly meals,"The ability to easily make changes to your picks, so you're in control of what you buy.",A text message alert would be great! More real time and to complete purchase within timely manner,Creating and controlling my own Replenishment list,It would improve I just believe having control is a bit more important and also having text reminders this would aid in getting auto delivery correct with no unneeded items abd aware of costs and expectations of time of arrival
